"Category","Path","Count"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\RaspiCamControl.c","15"
"string-input","C:\BoB_General\과제와실습\userland\containers\simple\simple_reader.c","13"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\gl_scenes\models.c","12"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\hello_pi\hello_teapot\models.c","12"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\RaspiVid.c","12"
"string-input","C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","9"
"string-input","C:\BoB_General\과제와실습\userland\containers\raw\raw_video_reader.c","8"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\vmcs\test_apps\mmalcam\mmalcam.c","7"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\RaspiStill.c","7"
"string-input","C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","6"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\RaspiVidYUV.c","5"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\vmcs\test_apps\mmalplay\mmalplay.c","5"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\RaspiCommonSettings.c","4"
"string-input","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\RaspiPreview.c","3"
"string-input","C:\BoB_General\과제와실습\userland\interface\mmal\util\mmal_param_convert.c","2"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\libs\debug_sym\debug_sym.c","5"
"file-system","C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","3"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\hello_pi\hello_triangle\triangle.c","3"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\libs\sm\user-vcsm.c","3"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\dtoverlay\utils.c","3"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\gl_scenes\models.c","2"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\imv_examples\imv2pgm.c","2"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\libs\bcm_host\bcm_host.c","2"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\hello_pi\hello_fft\mailbox.c","2"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\imv_examples\imv2txt.c","2"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\hello_pi\hello_teapot\models.c","2"
"file-system","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\gps.h","2"
"file-system","C:\BoB_General\과제와실습\userland\containers\test\test.c","2"
"file-system","C:\BoB_General\과제와실습\userland\containers\test\dump_pktfile.c","2"
"file-system","C:\BoB_General\과제와실습\userland\containers\test\crc_32.c","2"
"memory","C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","45"
"memory","C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","24"
"memory","C:\BoB_General\과제와실습\userland\containers\core\containers.c","16"
"memory","C:\BoB_General\과제와실습\userland\containers\core\containers_io.c","16"
"memory","C:\BoB_General\과제와실습\userland\containers\core\containers_uri.c","16"
"memory","C:\BoB_General\과제와실습\userland\host_applications\linux\libs\debug_sym\debug_sym.c","13"
"memory","C:\BoB_General\과제와실습\userland\interface\vchiq_arm\vchiq_test.c","11"
"memory","C:\BoB_General\과제와실습\userland\containers\core\containers_utils.c","11"
"memory","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\RaspiStill.c","11"
"memory","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\dtoverlay\utils.c","11"
"memory","C:\BoB_General\과제와실습\userland\opensrc\helpers\libfdt\fdt_rw.c","11"
"memory","C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","10"
"memory","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\dtoverlay\dtoverlay_main.c","10"
"memory","C:\BoB_General\과제와실습\userland\interface\vmcs_host\vcilcs.c","9"
"memory","C:\BoB_General\과제와실습\userland\host_applications\linux\apps\raspicam\RaspiVid.c","9"
