"Path","LineNumber","Line"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","386","   if (sscanf(status_line, ""RTSP/%u.%u %u"", &major_version, &minor_version, &status_code) != 3)"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","424","      sscanf(header.value, ""%u"", &content_length);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","654","         if (sscanf(value, ""%u"", &timestamp_base) == 1)"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","662","         if (sscanf(value, ""%hu"", &sequence_number) == 1)"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","855","   sscanf(rtp_port, ""%hu"", &t_module->rtp_port);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","935","   full_mime_type = (char *)malloc(strlen(t_module->media_type) + strlen(mime_sub_type) + 2);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","942","   sprintf(full_mime_type, ""%s/%s"", t_module->media_type, mime_sub_type);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","945","      free(full_mime_type);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","949","   free(full_mime_type);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1057","      *p_merged_uri_str = (char *)malloc(len + 1);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1077","   *p_merged_uri_str = (char *)malloc(merged_size);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1117","      *p_control_uri_str = (char *)malloc(len + 1);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1146","   uri_buffer = (char *)malloc(uri_buffer_size);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1155","   free(uri_buffer);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1240","   new_path = (char *)calloc(1, len + RTP_PATH_EXTRA + 1);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1262","   free(new_path);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1268","   if (new_path) free(new_path);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1307","   memcpy(dst_format->language, src_format->language, sizeof(dst_format->language));"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1320","      memcpy(dst_format->extradata, src_format->extradata, extradata_size);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1472","                  free(*track_control_uri);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1486","                  free(session_base_uri);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1500","      free(session_base_uri);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1622","   t_module->session_header = (char *)malloc(session_header_len + 1);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1804","      memcpy(p_packet, info, sizeof(*info));"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1891","         free(t_module->control_uri);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1893","         free(t_module->session_header);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1901","         free(module->comms_buffer);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1904","      free(module);"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1930","   if ((module = (VC_CONTAINER_MODULE_T *)malloc(sizeof(VC_CONTAINER_MODULE_T))) == NULL)"
"C:\BoB_General\과제와실습\userland\containers\rtsp\rtsp_reader.c","1943","   module->comms_buffer = (char *)calloc(1, COMMS_BUFFER_SIZE+1);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","280","   ds->buf = malloc(initial_size);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","295","      ds->buf = realloc(ds->buf, size);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","322","      memcpy(ds->buf, src, len + 1);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","339","         memmove(ds->buf + pos + len, ds->buf + pos + width,"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","343","      memcpy(ds->buf + pos, src, len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","355","   free(ds->buf);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1113","      strcpy(target_path + target_path_len, p);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1181","         overlay_copy = malloc(overlay_size);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1188","      memcpy(overlay_copy, overlay_dtb->fdt, overlay_size);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1189","      memcpy(&clone_dtb, overlay_dtb, sizeof(DTBLOB_T));"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1215","      free(overlay_copy);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1388","      new_str = malloc(sizeof(*new_str) + strlen(name));"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1396","            free(str);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1402","      strcpy(new_str->str, name);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1438","      free(str);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1664","             prop_buf = calloc(1, new_prop_len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1671","                 memcpy(prop_buf, prop_val, prop_len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1698","            free(prop_buf);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1708","               char *new_name = malloc(name_len + 1 + 16 + 1);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1711","               sprintf(new_name, ""%.*s@%x"", name_len, old_name, (uint32_t)override_int);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1713","               free(new_name);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1837","   data_buf = malloc(data_len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1844","   memcpy(data_buf, override_data, data_len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1859","      strcpy(target_value, override_value);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1888","         memcpy(prop_name, target_prop, name_len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","1899","   free(data_buf);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","2101","            strcpy(override_value, literal_value);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","2106","            sprintf(override_value, ""%d"", dtoverlay_read_u32(data, 0));"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","2135","         strcpy(override_value, ""okay"");"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","2141","         strcpy(override_value, ""disabled"");"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","2184","         memcpy(buf, data, len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","2202","         memcpy(buf, data, len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","2320","      prop_data = malloc(prop_len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","2321","      memcpy(prop_data, src_prop, prop_len);"
"C:\BoB_General\과제와실습\userland\helpers\dtoverlay\dtoverlay.c","2325","      free(prop_data);"
