"Path","LineNumber","Line"
"C:\BoB_General\과제와실습\userland\containers\asf\asf_reader.c","2105","      free(p_ctx->meta[i]);"
"C:\BoB_General\과제와실습\userland\containers\asf\asf_reader.c","2106","   if(p_ctx->meta_num) free(p_ctx->meta);"
"C:\BoB_General\과제와실습\userland\containers\asf\asf_reader.c","2112","   free(module);"
"C:\BoB_General\과제와실습\userland\containers\asf\asf_reader.c","2134","   module = malloc(sizeof(*module));"
"C:\BoB_General\과제와실습\userland\containers\asf\asf_writer.c","459","   free(module);"
"C:\BoB_General\과제와실습\userland\containers\asf\asf_writer.c","546","   module = malloc(sizeof(*module));"
"C:\BoB_General\과제와실습\userland\containers\asf\asf_writer.c","567","   free(module);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_reader.c","414","               memcpy(track->format->extradata, track->priv->drmdata, chunk_size);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_reader.c","1106","         memcpy(data, p_state->extra_chunk_data + p_state->extra_chunk_data_offs, len);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_reader.c","1325","   free(module);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_reader.c","1394","   if ((module = malloc(sizeof(*module))) == NULL)"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_reader.c","1510","   if (module) free(module);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","137","   memcpy(&chunk_id, track_num_buf, 2);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","152","   memcpy(((uint8_t*)&chunk_id) + 2, track_num_buf, 2);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","863","         memcpy(module->frame_packet.data, "
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","877","            memcpy(module->frame_packet.data + module->frame_packet.size, "
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","1022","   if(module->avi_frame_buffer) free(module->avi_frame_buffer);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","1023","   free(module);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","1116","   module = malloc(sizeof(*module));"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","1133","      module->avi_frame_buffer = malloc(AVI_FRAME_BUFFER_SIZE);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","1160","      if(module->avi_frame_buffer) free(module->avi_frame_buffer);"
"C:\BoB_General\과제와실습\userland\containers\avi\avi_writer.c","1161","      free(module);"
"C:\BoB_General\과제와실습\userland\containers\binary\binary_reader.c","185","   free(module);"
"C:\BoB_General\과제와실습\userland\containers\binary\binary_reader.c","230","   module = malloc(sizeof(*module));"
"C:\BoB_General\과제와실습\userland\containers\binary\binary_writer.c","66","   free(module);"
"C:\BoB_General\과제와실습\userland\containers\binary\binary_writer.c","138","   module = malloc(sizeof(*module));"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","63","   p_ctx = malloc( sizeof(*p_ctx) + sizeof(*p_ctx->priv) + sizeof(*p_ctx->drm));"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","151","   p_ctx = malloc( sizeof(*p_ctx) + sizeof(*p_ctx->priv));"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","190","   if(p_ctx->priv->packetizer_buffer) free(p_ctx->priv->packetizer_buffer);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","195","   for(i = 0; i < p_ctx->meta_num; i++) free(p_ctx->meta[i]);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","196","   if(p_ctx->meta_num) free(p_ctx->meta);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","198","   free(p_ctx);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","469","         memcpy(p_track->priv->drmdata, p_drm_data, drm_data_size);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","532","            p_ctx->priv->packetizer_buffer = malloc(PACKETIZER_BUFFER_SIZE);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","570","   p_ctx = malloc(size);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","587","      if(p_track->priv->extradata) free(p_track->priv->extradata);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","588","      if(p_track->priv->drmdata) free(p_track->priv->drmdata);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","589","      free(p_track);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","606","      if(p_track->priv->extradata) free(p_track->priv->extradata);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","607","      p_track->priv->extradata = malloc(extra_size);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","630","      if(p_track->priv->drmdata) free(p_track->priv->drmdata);"
"C:\BoB_General\과제와실습\userland\containers\core\containers.c","631","      p_track->priv->drmdata = malloc(size);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_bits.c","218","   memcpy(dst, src, sizeof(VC_CONTAINER_BITS_T));"
"C:\BoB_General\과제와실습\userland\containers\core\containers_bits.c","296","   memcpy(dst, bit_stream->buffer + 1, bytes_to_copy);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_bytestream.h","198","      memcpy( data, packet->data + offset, copy );"
"C:\BoB_General\과제와실습\userland\containers\core\containers_bytestream.h","204","   memcpy( data, packet->data + offset, size );"
"C:\BoB_General\과제와실습\userland\containers\core\containers_bytestream.h","228","      memcpy( data, packet->data + offset, copy );"
"C:\BoB_General\과제와실습\userland\containers\core\containers_bytestream.h","233","   memcpy( data, packet->data + offset, size );"
"C:\BoB_General\과제와실습\userland\containers\core\containers_bytestream.h","266","      memcpy( data, packet->data + peek_offset, copy );"
"C:\BoB_General\과제와실습\userland\containers\core\containers_bytestream.h","271","   memcpy( data, packet->data + peek_offset, size );"
"C:\BoB_General\과제와실습\userland\containers\core\containers_filters.c","110","   p_ctx = malloc(sizeof(*p_ctx) + sizeof(*priv));"
"C:\BoB_General\과제와실습\userland\containers\core\containers_filters.c","124","   if(p_ctx) free(p_ctx);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_filters.c","136","      free(p_ctx);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_filters.c","183","   dl_name = malloc(dl_name_len);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_filters.c","187","   entrypt_name = malloc(entrypt_name_len);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_filters.c","190","      free(dl_name);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_filters.c","209","   free(dl_name);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_filters.c","210","   free(entrypt_name);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_index.c","78","   id = malloc(sizeof(VC_CONTAINER_INDEX_T) + (sizeof(VC_CONTAINER_INDEX_POS_T)<<len));"
"C:\BoB_General\과제와실습\userland\containers\core\containers_index.c","97","   free(index);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_io.c","131","   p_ctx = malloc( sizeof(*p_ctx) + sizeof(*private) + uri_length);"
"C:\BoB_General\과제와실습\userland\containers\core\containers_io.c","136","   memcpy((char *)p_ctx->uri, uri, uri_length);"
